relative_path,search_query,source_url,status,reason
spices\120-hot-paprika.jpg,,,failed,No valid image found
spices\121-sweet-paprika.jpg,,,failed,No valid image found
spices\123-chillies-whole.jpg,chillies whole,https://images.squarespace-cdn.com/content/v1/55e0b053e4b03c4493837190/1464699372501-BM15VPGYK1C7FWPP76M9/Chillies+(whole+dried).JPG,success,
spices\125-tablettes-jumbo-original.jpg,tablettes jumbo original,https://fastly.4sqi.net/img/general/600x600/389675_uQZRdLy0-TW2yCae3SZF0wDeFL1bprbIMl_Utnw-WeM.jpg,success,
spices\126-jumbo-powder-aroma.jpg,jumbo powder aroma,https://www.foodafriq.com/cdn/shop/products/IMG_E0628_1024x1024.jpg,success,
spices\127-jumbo-powder-poulet.jpg,jumbo powder poulet,https://www.jumboproudlyafrican.com/files/thumbs/9d301fea0417e80e0c2eaa6e2cc3b5b8a1322f44_r700_380_5.png,success,
spices\128-arome-maggi-assaisonnement-liquide.jpg,arome maggi assaisonnement liquide,https://spiceeupp.co.uk/4188-large_default/maggi-arome-160ml.jpg,success,
spices\129-musa-clou-de-girofle-entier-40g.jpg,,,failed,No valid image found
spices\131-musa-cannelle-baton-45g.jpg,musa cannelle baton 45g,https://m.media-amazon.com/images/I/61xdgJ0X8NL._AC_UL960_QL65_.jpg,success,
spices\133-musa-poivre-noir-moulu-50g.jpg,musa poivre noir moulu 50g,https://images.openfoodfacts.org/images/products/257/015/448/9016/front_fr.3.full.jpg,success,
spices\135-musa-anis-moulu-40g.jpg,,,failed,No valid image found
